LANGUAGE, English, Russian

STR_WU_NAME, "Wings of Peace","Крылья Мира"

STR_UA, "Ukraine","Украина"
STR_SU, "USSR","СССР"
STR_LI, "Lithuania","Литва"
STR_LA, "Latvia","Латвия"
STR_CU, "Cuba","Куба"
STR_GE, "Georgia","Грузия"
STR_AM, "Armenia","Армения"
STR_KZ, "Kazakhstan","Казахстан"

STR_IL96_NAME1, "Il-96","Ил-96"
STR_IL96_NAME2, "Il-96 USSR","Ил-96 СССР"
STR_IL96_NAME3, "Il-96 400","Ил-96 400"
STR_IL96_NAME4, "Il-96 96005","Ил-96 96005"
STR_IL96_NAME5, "Il-96 96007","Ил-96 96007"
STR_IL96_NAME6, "Il-96 96008","Ил-96 96008"
STR_IL96_NAME7, "Il-96 96010","Ил-96 96010"
STR_IL96_NAME8, "Il-96 96011","Ил-96 96011"
STR_IL96_NAME9, "Il-96 96015","Ил-96 96015"
STR_IL96_NAME10, "Il-96 Domodedovo","Ил-96 Домодедово"
STR_IL96_NAME11, "Il-96 DMD 96006","Ил-96 ДМД 96006"
STR_IL96_NAME12, "Il-96 DMD 96009","Ил-96 ДМД 96009"
STR_IL96_NAME13, "Il-96 DMD-E3151","Ил-96 ДМД-E3151"
STR_IL96_NAME14, "Il-96 DMD-E3831","Ил-96 ДМД-E3831"
STR_IL96_NAME15, "Il-96 KrasAir","Ил-96 КрасЭир"
STR_IL96_NAME16, "Il-96 Russia 96012","Ил-96 Россия 96012"
STR_IL96_NAME17, "Il-96 Russia 96016","Ил-96 Россия 96016"
STR_IL96_NAME18, "Il-96 Cargo 96101","Ил-96 Транс. 96101"

STR_IL96_DR, "Down ramp","Открыть заднюю рампу"
STR_IL96_UR, "Up ramp","Закрыть заднюю рампу"
STR_IL96_OD, "Open doors","Открыть двери"
STR_IL96_CD, "Close doors","Закрыть двери"
STR_IL96_DL, "Down ladder","Опустить лестницу"
STR_IL96_UL, "Up ladder","Поднять лестницу"
STR_IL96_PG, "Parachute Group","Парашютная группа"
STR_IL96_LC, "Load Cargo","Закрепить технику"
STR_IL96_UC, "Unload Cargo","Открепить технику"
STR_IL96_UCA, "Unload Cargo (All)","Разгрузка отсека"
STR_IL96_ES, "Exchange seats","Поменяться местами"
STR_IL96_ID, "ALL, STANDBY FOR IMMEDIATE DEPLOYMENT!!","Всем: приготовиться к немедленной высадке!"
STR_IL96_GG, "OK guys, GREEN LIGHT... GO....GO....GO...!!!","Зеленый свет! Пошел... Пошел... Пошел!!!"
STR_IL96_OP, "You are outside plane!","Вы не в самолете!"
STR_IL96_FIR, "Engine #","Пожар "
STR_IL96_ENG, " fired","-го двигателя"
STR_IL96_B, "Brakes","Тормоз"
STR_IL96_SV, "Wheels down","Шасси выпущено"
STR_IL96_SU, "Gear removed","Шасси убрано"
STR_IL96_MGEN, "Disclaimer generator dc","Отказ генератора постоянного тока"
STR_IL96_MHYD, "Disclaimer main hydraulic","Отказ основной гидросистемы"
STR_IL96_MNSW, "No pumping fuel","Нет подкачки топлива"
STR_IL96_MVIB, "Vibration of CSA above the permissible","Вибрация КСА выше допустимой"
STR_IL96_MADS, "System failure of air signals","Отказ системы воздушных сигналов"
STR_IL96_MBUS, "Failure of the hydraulic booster","Отказ бустерной гидросистемы"
STR_IL96_MALL, "Fire boxes airborne units","Пожар коробки самолетных агрегатов"
STR_IL96_MFE1, "Engine #1 fired","Пожар 1-го двигателя"
STR_IL96_MFE2, "Engine #2 fired","Пожар 2-го двигателя"
STR_IL96_MFE3, "Engine #3 fired","Пожар 3-го двигателя"
STR_IL96_MFE4, "Engine #4 fired","Пожар 4-го двигателя"
STR_IL96_ENG, " fired","-го двигателя"
STR_IL96_TMP, "Stagnation temperature limit","Температура торможения предельная"
STR_IL96_TSH, "Gear temperature","Температура шасси"
STR_WR_NAME, "Wings of Russia","Крылья России"
STR_IL96_TUR, "IL96 Back Turret", "Задняя турель Ил-96"
STR_IL96_DESCR, "The Ilyushin Il-96 is a four-engined long-haul widebody airliner designed by Ilyushin in the Russian Federation and manufactured by the Voronezh Aircraft Production Association in Voronezh. It is powered by four Aviadvigatel PS-90 two-shaft turbofan engines, or four Pratt & Whitney PW2337 Turbofan engines.","Ил-96 — пассажирский широкофюзеляжный самолёт для авиалиний средней и большой протяжённости, спроектированный в КБ Ильюшина в конце 1980-х годов. Совершил первый полёт в 1988 году, производится серийно с 1993 года на заводе Воронежского акционерного самолётостроительного общества. Ил-96 стал первым и последним советским дальнемагистральным широкофюзеляжным самолётом."
